symptom,disease
Anxiety,Lunaphobia
Trembling,Lunaphobia
Feeling of panic,Lunaphobia
Feeling of terror,Lunaphobia
Extreme avoidance measures taken,Lunaphobia
Shortness of breath,Lunaphobia
Skin bumps on back of hand,Lutz-lewandowsky
Flat verrucous warts,Lutz-lewandowsky
Skin bumps,Lutz-lewandowsky
Flattened warty skin lesions,Lutz-lewandowsky
Axillary pain,Lymphadenitis
Swelling,Lymphadenitis
Painful lump,Lymphadenitis
Fever,Lymphadenitis
Anxiety,Lyssophobia
Trembling,Lyssophobia
Feeling of panic,Lyssophobia
Feeling of terror,Lyssophobia
Extreme avoidance measures taken,Lyssophobia
Shortness of breath,Lyssophobia
Abnormal heart rhythm,Magnesium deficiency
Tetany,Magnesium deficiency
Paraesthesias,Magnesium deficiency
Muscle spasms,Magnesium deficiency
Seizures,Magnesium deficiency
Coma,Magnesium overdose
Disordered cardiac rhythm (cardiac arrhythmias),Magnesium overdose
Muscle weakness,Magnesium overdose
Hypotension,Magnesium overdose
Cns depression,Magnesium overdose
Decreased reflexes (neuromuscular depression),Magnesium overdose
Erectile dysfunction,Male sexual conditions
Vascular disease,Male sexual conditions
Psychological conditions,Male sexual conditions
Sexual transmitted diseases,Male sexual conditions
Sensitivity to light,Map-dot-fingerprint dystrophy.
Eye pain,Map-dot-fingerprint dystrophy.
Excessive tearing,Map-dot-fingerprint dystrophy.
Foreign body sensation in the eye,Map-dot-fingerprint dystrophy.
Blurred vision,Map-dot-fingerprint dystrophy.
Both eyes affected,Map-dot-fingerprint dystrophy.
Milky corneal opacities,Maumenee syndrome
Corneal edema at birth,Maumenee syndrome
Sensorineural deafness,Maumenee syndrome
Rapid involuntary eye movements,Maumenee syndrome
Impaired vision,Maumenee syndrome
Anxiety,Mechanophobia
Trembling,Mechanophobia
Feeling of panic,Mechanophobia
Feeling of terror,Mechanophobia
Extreme avoidance measures taken,Mechanophobia
Shortness of breath,Mechanophobia
Nephrotic syndrome,Membranoproliferative glomerulonephritis (type 2)
Azotemia,Membranoproliferative glomerulonephritis (type 2)
Protein in urine,Membranoproliferative glomerulonephritis (type 2)
Blood in urine,Membranoproliferative glomerulonephritis (type 2)
Increased urination,Membranoproliferative glomerulonephritis (type 2)
Altered consciousness,Meninges cancer
Headaches,Meninges cancer
Papilloedema,Meninges cancer
Proptosis,Meninges cancer
Behavioral changes,Meninges cancer
Seizures,Meninges cancer
Anxiety,Merinthophobia
Trembling,Merinthophobia
Feeling of panic,Merinthophobia
Feeling of terror,Merinthophobia
Extreme avoidance measures taken,Merinthophobia
Shortness of breath,Merinthophobia
Anxiety,Metallophobia
Trembling,Metallophobia
Feeling of panic,Metallophobia
Feeling of terror,Metallophobia
Extreme avoidance measures taken,Metallophobia
Shortness of breath,Metallophobia
Jaundice,Metastatic liver cancer
Confusion,Metastatic liver cancer
Ascites,Metastatic liver cancer
Pruritus,Metastatic liver cancer
Reduced appetite,Metastatic liver cancer
Anxiety,Meteorophobia
Trembling,Meteorophobia
Feeling of panic,Meteorophobia
Feeling of terror,Meteorophobia
Extreme avoidance measures taken,Meteorophobia
Shortness of breath,Meteorophobia
Anxiety,Microphobia
Trembling,Microphobia
Feeling of panic,Microphobia
Feeling of terror,Microphobia
Extreme avoidance measures taken,Microphobia
Shortness of breath,Microphobia
Embolism,Mitral regurgitation
Breathlessness,Mitral regurgitation
Atrial fibrillation,Mitral regurgitation
Shortness of breath or wheezing,Mitral regurgitation
Lump in mouth,Mouth conditions
Swallowing difficulties,Mouth conditions
Mouth pain,Mouth conditions
Mouth ulcers,Mouth conditions
Abdominal pain,Msi-l colorectal cancer
Occult bleeding,Msi-l colorectal cancer
Intestinal obstruction,Msi-l colorectal cancer
Altered bowel habits,Msi-l colorectal cancer
Abdominal pain,Mss colorectal cancer
Occult bleeding,Mss colorectal cancer
Intestinal obstruction,Mss colorectal cancer
Altered bowel habits,Mss colorectal cancer
Retina impairment,Mucolipidosis iv
Reduced muscle tone,Mucolipidosis iv
Mental retardation,Mucolipidosis iv
Psychomotor impairment,Mucolipidosis iv
Cloudy corneas,Mucolipidosis iv
Symptoms start in arms or hands,Multifocal motor neuropathy
Muscle atrophy,Multifocal motor neuropathy
Fasciculations,Multifocal motor neuropathy
Muscle cramping,Multifocal motor neuropathy
Muscle weakness,Multifocal motor neuropathy
Muscle inflammation,Muscle conditions
Muscle swelling,Muscle conditions
Difficulty moving the affected muscle,Muscle conditions
Muscle pain,Muscle conditions
Purulent discharge,Mycobacterium abscessus
Chills,Mycobacterium abscessus
Fever,Mycobacterium abscessus
Skin nodules,Mycobacterium abscessus
Exercise-induced myalgia,Myoadenylate deaminase deficiency
Muscle cramps,Myoadenylate deaminase deficiency
Muscle pain,Myoadenylate deaminase deficiency
Myalgias,Myoadenylate deaminase deficiency
Irritable bowel syndrome,Myofascial pain syndromes
Anxiety,Myofascial pain syndromes
Headaches,Myofascial pain syndromes
Abnormal rem sleep,Myofascial pain syndromes
Muscle pain,Myofascial pain syndromes
Depression,Myofascial pain syndromes
Paresthesia,Nerve conditions
Bowel incontinence,Nerve conditions
Bladder incontinence,Nerve conditions
Pain on movement of limbs,Nerve conditions
Muscle weakness,Nerve conditions
Tingling in arms,Neurotoxic shellfish poisoning
Mouth tingling,Neurotoxic shellfish poisoning
Tingling in legs,Neurotoxic shellfish poisoning
Numbness in mouth,Neurotoxic shellfish poisoning
Gastrointestinal upset,Neurotoxic shellfish poisoning
Poor coordination,Neurotoxic shellfish poisoning
"Painful skin plaques on limbs, face and neck","Neutrophilic dermatosis, acute febrile"
"Skin pustules on limbs, face and neck","Neutrophilic dermatosis, acute febrile"
Tender skin plaques,"Neutrophilic dermatosis, acute febrile"
Red skin plaques,"Neutrophilic dermatosis, acute febrile"
High fever,"Neutrophilic dermatosis, acute febrile"
Paresthesia,Niacin overdose
Tingling skin,Niacin overdose
Gout,Niacin overdose
Symptoms of diabetes,Niacin overdose
Flushing,Niacin overdose
Hyperglycemia,Niacin overdose
Coma,Nifedipine toxicity
Abnormal heart rhythm,Nifedipine toxicity
Metabolic acidosis,Nifedipine toxicity
Hypotension,Nifedipine toxicity
Bradycardia,Nifedipine toxicity
Hyperglycemia,Nifedipine toxicity
Breathlessness,Non cardiogenic pulmonary oedema
Increased breathing difficulty when lying down,Non cardiogenic pulmonary oedema
Rales,Non cardiogenic pulmonary oedema
Reduced blood oxygenation,Non cardiogenic pulmonary oedema
Cyanosis,Non cardiogenic pulmonary oedema
Rapid breathing,Non cardiogenic pulmonary oedema
Nasal discharge,Nose foreign body
"Thick, yellow and foul-smelling nasal discharge - later stages",Nose foreign body
Clear nasal discharge - early stages,Nose foreign body
Nose pain,Nose foreign body
Difficulty breathing through nose,Nose foreign body
Chest tightness,Occupational asthma -- spray painters
Dry cough,Occupational asthma -- spray painters
Shortness of breath or wheezing,Occupational asthma -- spray painters
Shortness of breath,Occupational asthma -- spray painters
Underdeveloped enamel,Oculodental syndrome
Iris anomalies,Oculodental syndrome
Mental retardation,Oculodental syndrome
Congenital absence of numerous teeth,Oculodental syndrome
Enlarged gums,Oculodental syndrome
Sexual arousal associated with urine,Ondinisme
Recurring intense sexual fantasies involving urine,Ondinisme
Recurring intense sexual urges involving urine,Ondinisme
Sexual interest in urine,Ondinisme
Constipations,Ovarian epithelial cancer
Pelvic pain,Ovarian epithelial cancer
Abdominal swelling,Ovarian epithelial cancer
Abdominal pain,Ovarian epithelial cancer
Abdominal gas,Ovarian epithelial cancer
Abdominal swelling,Ovary conditions
Emotional fragility,Ovary conditions
Abdominal pain,Ovary conditions
Vaginal discharge,Ovary conditions
Secondary sexual characteristics,Ovary conditions
Inability to completely empty bladder,Overflow incontinence
Bladder always feel full,Overflow incontinence
Night urination,Overflow incontinence
Impaired bladder control,Overflow incontinence
Involuntary leakage of urination,Overflow incontinence
Itchy armpits,Paget's extramammary disease
Burning armpits,Paget's extramammary disease
Eczema-like genital rash,Paget's extramammary disease
Eczema-like anal rash,Paget's extramammary disease
Eczema-like armpit rash,Paget's extramammary disease
Sore armpits,Paget's extramammary disease
Soft lump,Papilloma
Sessile lump,Papilloma
Bleeding,Papilloma
Pruritus,Papilloma
Sore throat,Parainfluenza
Cough,Parainfluenza
Croup,Parainfluenza
Bronchiolitis,Parainfluenza
Bronchitis,Parainfluenza
Pneumonia,Parainfluenza
Loss of bladder control,Paralysis
Loss of bowel control,Paralysis
Loss of sensory function,Paralysis
Loss of motor function,Paralysis
Breathing difficulties,Paraneoplastic autoimmune syndromes
Confusion,Paraneoplastic autoimmune syndromes
Hot flushes,Paraneoplastic autoimmune syndromes
Diarrhoea,Paraneoplastic autoimmune syndromes
Fever,Paraneoplastic autoimmune syndromes
Anorexia,Paraneoplastic autoimmune syndromes
Bradykiesia,"Parkinson disease, juvenile, autosomal recessive"
Abnormal gait,"Parkinson disease, juvenile, autosomal recessive"
Rigidity,"Parkinson disease, juvenile, autosomal recessive"
Tremors,"Parkinson disease, juvenile, autosomal recessive"
Rashes,Parvovirus
Face rash,Parvovirus
In children: a mild disease with slapped face syndrome,Parvovirus
Tiredness,Parvovirus
Joint pain - adults,Parvovirus
Fever,Parvovirus
Reduced muscle tone,Pepck deficiency
Low blood sugar,Pepck deficiency
Liver enlargement,Pepck deficiency
Failure to thrive,Pepck deficiency
High blood acid level,Pepck deficiency
Inflammation of peripheral retina,Peripheral uveitis
Inflammation of pars plana,Peripheral uveitis
Swelling inside eye,Peripheral uveitis
Blurred vision,Peripheral uveitis
Poor night vision,Peripheral uveitis
Easy bruising,Philadelphia-negative chronic myeloid leukemia
Increased white blood cell count,Philadelphia-negative chronic myeloid leukemia
Thrombocytopenia,Philadelphia-negative chronic myeloid leukemia
Malaise,Philadelphia-negative chronic myeloid leukemia
Susceptibility to infections,Philadelphia-negative chronic myeloid leukemia
Fever,Philadelphia-negative chronic myeloid leukemia
Itching skin areas - not all cases are itchy,Pityriasis versicolor
Blotchy skin patches,Pityriasis versicolor
Areas of reduced skin color,Pityriasis versicolor
Oval skin patches,Pityriasis versicolor
Throat swelling,Plant poisoning -- dumbcane (dieffenbachia sp.)
Breathing difficulties,Plant poisoning -- dumbcane (dieffenbachia sp.)
Swollen tongue,Plant poisoning -- dumbcane (dieffenbachia sp.)
Swelling,Plant poisoning -- dumbcane (dieffenbachia sp.)
Intense pain,Plant poisoning -- dumbcane (dieffenbachia sp.)
Nausea,Plant poisoning -- holly (ilex sp.)
Loss of appetite,Plant poisoning -- holly (ilex sp.)
Abdominal discomfort,Plant poisoning -- holly (ilex sp.)
Diarrhea,Plant poisoning -- holly (ilex sp.)
Abdominal cramps,Plant poisoning -- holly (ilex sp.)
Nausea,Plant poisoning -- nicotine alkaloids
Increased salivation,Plant poisoning -- nicotine alkaloids
Agitation,Plant poisoning -- nicotine alkaloids
Increased blood pressure followed by decreased blood pressure,Plant poisoning -- nicotine alkaloids
Diarrhea,Plant poisoning -- nicotine alkaloids
Abdominal pain,Plant poisoning -- nicotine alkaloids
Throat swelling,Plant poisoning -- philodendron (philodendron sp.)
Breathing difficulties,Plant poisoning -- philodendron (philodendron sp.)
Swollen tongue,Plant poisoning -- philodendron (philodendron sp.)
Swelling,Plant poisoning -- philodendron (philodendron sp.)
Intense pain,Plant poisoning -- philodendron (philodendron sp.)
Nausea,Plant poisoning -- veratum alkaloid
Paresthesia,Plant poisoning -- veratum alkaloid
Reduced blood pressure,Plant poisoning -- veratum alkaloid
Fainting,Plant poisoning -- veratum alkaloid
Diarrhea,Plant poisoning -- veratum alkaloid
Abdominal pain,Plant poisoning -- veratum alkaloid
Slow sexual development,Polyendocrine deficiency syndrome type 1
Pernicious anemia,Polyendocrine deficiency syndrome type 1
Chronic candida infections,Polyendocrine deficiency syndrome type 1
Chronic active hepatitis,Polyendocrine deficiency syndrome type 1
Hair loss,Polyendocrine deficiency syndrome type 1
Addison's disease,Polyendocrine deficiency syndrome type 1
Abnormal amount of time spent thinking about group sex,Polyiterophilia
Recurring intense sexual fantasies involving group sex,Polyiterophilia
Sexual interest in group sex,Polyiterophilia
Sexual preference for group sex,Polyiterophilia
Thickening skin - later phase,Pompholyx (dyshidrotic eczema)
Itchy skin,Pompholyx (dyshidrotic eczema)
Cracked skin,Pompholyx (dyshidrotic eczema)
Small skin bumps,Pompholyx (dyshidrotic eczema)
Skin blisters,Pompholyx (dyshidrotic eczema)
Skin peeling,Pompholyx (dyshidrotic eczema)
Encephalitis,Post-vaccinial encephalitis
Paralysis,Post-vaccinial encephalitis
Incontinence,Post-vaccinial encephalitis
Headaches,Post-vaccinial encephalitis
Urinary retention,Post-vaccinial encephalitis
Wound discharge,Postoperative abdominal wound dehiscence
Diarrhoea,Postoperative abdominal wound dehiscence
Skin breakdown,Postoperative abdominal wound dehiscence
Abdominal pain,Postoperative abdominal wound dehiscence
Fever,Postoperative abdominal wound dehiscence
Skin inflammation,Postoperative abdominal wound dehiscence
Vaginal bleeding,Primary fallopian tube cancer
Pelvic mass,Primary fallopian tube cancer
Abdominal pain,Primary fallopian tube cancer
Pain in pelvic area,Primary fallopian tube cancer
Sensation of pressure in pelvis,Primary fallopian tube cancer
Vaginal discharge,Primary fallopian tube cancer
Small head,Dup (2) (q33.1-q35)
Mental retardation,Dup (2) (q33.1-q35)
Minor anomalies,Dup (2) (q33.1-q35)
Clubfoot,Dup (2) (q33.1-q35)
Optic atrophy,Dup (2) (q33-qter) and del (9) (pter-p24)
Glaucoma,Dup (2) (q33-qter) and del (9) (pter-p24)
Mental retardation,Dup (2) (q33-qter) and del (9) (pter-p24)
Minor anomalies,Dup (2) (q33-qter) and del (9) (pter-p24)
Hypospadias,Dup (2) (q33-qter) and del (9) (pter-p24)
Capillary hemangiomas,Sternal cyst -- vascular anomalies
Abnormal aortic arch,Sternal cyst -- vascular anomalies
Small jaw,Sternal cyst -- vascular anomalies
Sternal cyst,Sternal cyst -- vascular anomalies
Dilated aortic root,Sternal cyst -- vascular anomalies
Kidney dysfunction,Thomas syndrome
Cleft palate,Thomas syndrome
Cleft lips,Thomas syndrome
Heart abnormalities,Thomas syndrome
Spastic paraplegia,"Spastic paraplegia 31, autosomal dominant"
Mild weakness of small hand muscles,"Spastic paraplegia 31, autosomal dominant"
Spastic gait,"Spastic paraplegia 31, autosomal dominant"
Progressive leg stiffness,"Spastic paraplegia 31, autosomal dominant"
Proximal leg weakness,"Spastic paraplegia 31, autosomal dominant"
Brisk reflexes,"Spastic paraplegia 31, autosomal dominant"
Meta-epiphyseal changes in leg bones,Mesomelic dysplasia -- skin dimples
Abnormal forearm bones,Mesomelic dysplasia -- skin dimples
Skin dimples,Mesomelic dysplasia -- skin dimples
Short forearm bones,Mesomelic dysplasia -- skin dimples
Slipped vertebrae,Jaffer-beighton syndrome
Pigeon chest,Jaffer-beighton syndrome
Long thin fingers,Jaffer-beighton syndrome
Loose joints,Jaffer-beighton syndrome
Mental retardation,Jaffer-beighton syndrome
Cleft palate,Dup (3) (q24-q26)
Other minor anomalies,Dup (3) (q24-q26)
Brain anomalies,Dup (3) (q24-q26)
Cleft lips,Dup (3) (q24-q26)
Death early in life,Dup (3) (q23-qter) and del (3) (pter-p25)
Breathing difficulties,Dup (3) (q23-qter) and del (3) (pter-p25)
Unusual skull shape,Dup (3) (q23-qter) and del (3) (pter-p25)
Failure to thrive,Dup (3) (q23-qter) and del (3) (pter-p25)
Asphyxiation,Ollivier syndrome
Facial swelling,Ollivier syndrome
Skin petechiae in upper part of body,Ollivier syndrome
Subconjunctival hemorrhage,Ollivier syndrome
Transient paralysis,Todd's paralysis
Hemiparesis,Todd's paralysis
Speech problems,Todd's paralysis
Seizures,Todd's paralysis
Vision problems,Todd's paralysis
Finger like thumbs,Daneman davy mancer syndrome
Extra big toes,Daneman davy mancer syndrome
Extra fingers,Daneman davy mancer syndrome
Cystic kidney disease,Daneman davy mancer syndrome
Goiters,Daneman davy mancer syndrome
Itchy,Bxo
White lump on penis,Bxo
Lumps may grow and join,Bxo
Urination pain,Bxo
Optic atrophy,"Optic atrophy -- hearing loss -- peripheral neuropathy, autosomal dominant"
Lack of reflexes in legs,"Optic atrophy -- hearing loss -- peripheral neuropathy, autosomal dominant"
Impaired vision,"Optic atrophy -- hearing loss -- peripheral neuropathy, autosomal dominant"
Progressive sensorineural hearing loss - starts in childhood,"Optic atrophy -- hearing loss -- peripheral neuropathy, autosomal dominant"
Kidney disease,Lachiewicz-sibley syndrome
Protein in urine,Lachiewicz-sibley syndrome
Underdeveloped kidneys,Lachiewicz-sibley syndrome
Preauricular pits,Lachiewicz-sibley syndrome
Increased urination,Lachiewicz-sibley syndrome
Food poisoning,Bacillaceae infections
Botulism,Bacillaceae infections
Gas gangrene,Bacillaceae infections
Anthrax,Bacillaceae infections
Tetanus,Bacillaceae infections
Palpitations,Left ventricle-aorta tunnel
Chest pain,Left ventricle-aorta tunnel
Aortic regurgitation,Left ventricle-aorta tunnel
Shortness of breath,Left ventricle-aorta tunnel
Abnormal growing end of upper arm bone,"Spondyloepimetaphyseal dysplasia, irapa type"
Short hand bones,"Spondyloepimetaphyseal dysplasia, irapa type"
Abnormal growing end of thighbone,"Spondyloepimetaphyseal dysplasia, irapa type"
Flattened vertebrae,"Spondyloepimetaphyseal dysplasia, irapa type"
Short foot bones,"Spondyloepimetaphyseal dysplasia, irapa type"
Short spine,"Spondyloepimetaphyseal dysplasia, irapa type"
Dysmorphic facial appearance,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Reduced muscle tone,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Small skull,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Mental retardation,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Cataract,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Short skull,Dup (3) (pter-p25.1) and del (12) (pter-p13.3)
Widening of eye opening when looking towards nose,Duane retraction syndrome iia
Protrusion of eyeballs when looking towards nose,Duane retraction syndrome iia
Inability to move eyeball outward towards ears,Duane retraction syndrome iia
Eyes turned inwards when looking straight ahead,Duane retraction syndrome iia
Short statures,Spondyloepimetaphyseal dysplasia with hypotrichosis
Abnormal bone development,Spondyloepimetaphyseal dysplasia with hypotrichosis
Short limbs,Spondyloepimetaphyseal dysplasia with hypotrichosis
Pear-shaped vertebrae,Spondyloepimetaphyseal dysplasia with hypotrichosis
Reduced hair,Spondyloepimetaphyseal dysplasia with hypotrichosis
Knock knee,Spondyloepimetaphyseal dysplasia with hypotrichosis
Wasting of hip muscles,"Muscular dystrophy, limb girdle"
Weak hip muscles,"Muscular dystrophy, limb girdle"
Muscle wasting in shoulders,"Muscular dystrophy, limb girdle"
Weak shoulder muscles,"Muscular dystrophy, limb girdle"
Effort required to use voice,Vocal fold scarring
Breathy voice,Vocal fold scarring
Voice fatigue,Vocal fold scarring
Hoarseness,Vocal fold scarring
Eye pain,Panophthalmitis
Protruding eyeballs,Panophthalmitis
Ruptured eyeball,Panophthalmitis
Vision problems,Panophthalmitis
Nausea,Salmonella heidelberg infection
Abdominal discomfort,Salmonella heidelberg infection
Diarrhea,Salmonella heidelberg infection
Fever,Salmonella heidelberg infection
Enlarged liver,Hmg coa synthetase deficiency
Low ketone level,Hmg coa synthetase deficiency
Encephalopathy,Hmg coa synthetase deficiency
Hypoglycemia,Hmg coa synthetase deficiency
Nausea,"Episodic ataxia, type 3"
Diplopia,"Episodic ataxia, type 3"
Vertigo,"Episodic ataxia, type 3"
Tinnitus,"Episodic ataxia, type 3"
Unsteadiness,"Episodic ataxia, type 3"
Incoordination,"Episodic ataxia, type 3"
Leukopenia,Korovnikov syndrome
Increased blood platelets,Korovnikov syndrome
Black stool,Korovnikov syndrome
Intestinal bleeding,Korovnikov syndrome
Hypochromic anemia,Korovnikov syndrome
Vomiting blood,Korovnikov syndrome
Enlarged tongue,Lubarsch-pick syndrome
Amyloid deposits through the body,Lubarsch-pick syndrome
Enlarged neck lymph nodes,Lubarsch-pick syndrome
Skin bumps,Lubarsch-pick syndrome
Scleroderma,Lubarsch-pick syndrome
Cough,Chronic pneumonitis of infancy
Runny nose,Chronic pneumonitis of infancy
Progressive breathing difficulty,Chronic pneumonitis of infancy
Cyanosis,Chronic pneumonitis of infancy
Rapid breathing,Chronic pneumonitis of infancy
Kidney defects,Dup (3) (q25-q28)
Brain defect (corpus callosum),Dup (3) (q25-q28)
Cleft palate,Dup (3) (q25-q28)
Heart defect,Dup (3) (q25-q28)
Preauricular pits,Dup (3) (q25-q28)
Clubfeet,Dup (3) (q25-q28)
Agitation,Marie-seé syndrome
Insomnia,Marie-seé syndrome
Bulging fontanels,Marie-seé syndrome
Swelling of the brain (hydrocephalus),Marie-seé syndrome
Polyhydramnios,Marginal glioneuronal heterotopia
Death,Marginal glioneuronal heterotopia
Cerebral cortex anomaly,Marginal glioneuronal heterotopia
Stillbirth in some cases,Marginal glioneuronal heterotopia
Mass inside skull,Marginal glioneuronal heterotopia
Developmental disabilities,Marginal glioneuronal heterotopia
Cleft palate,Kuster syndrome
Deformed arms,Kuster syndrome
Lip pits,Kuster syndrome
Cleft lips,Kuster syndrome
Deformed legs,Kuster syndrome
Dislocated kneecap,Patella hypoplasia -- mental retardation
Mental retardation,Patella hypoplasia -- mental retardation
Underdeveloped kneecap,Patella hypoplasia -- mental retardation
Small kneecap,Patella hypoplasia -- mental retardation
Muscle hypotonia,Asphyxia neonatorum
Metabolic acidosis,Asphyxia neonatorum
Hypoxia,Asphyxia neonatorum
Poor response to stimulation,Asphyxia neonatorum
Bradycardia,Asphyxia neonatorum
Cyanosis,Asphyxia neonatorum
Impaired hearing,Aspergillus niger infection
Ear inflammation,Aspergillus niger infection
Tinnitus,Aspergillus niger infection
Fungal ear infection,Aspergillus niger infection
Impaired lung functions,Aspergillus niger infection
Ear pain,Aspergillus niger infection
Short statures,"Metaphyseal chondrodysplasia with cone-shaped epiphyses, normal hair, and normal hands"
Cupped metaphyses,"Metaphyseal chondrodysplasia with cone-shaped epiphyses, normal hair, and normal hands"
Limited joint movements,"Metaphyseal chondrodysplasia with cone-shaped epiphyses, normal hair, and normal hands"
Cone-shaped epiphyses,"Metaphyseal chondrodysplasia with cone-shaped epiphyses, normal hair, and normal hands"
Limited knee extension,"Metaphyseal chondrodysplasia with cone-shaped epiphyses, normal hair, and normal hands"
Eye pain,"Macular dystrophy, corneal type 1"
Corneal dystrophy,"Macular dystrophy, corneal type 1"
Foreign body sensation in eye,"Macular dystrophy, corneal type 1"
Corneal opacities,"Macular dystrophy, corneal type 1"
Reduced visual acuity,"Macular dystrophy, corneal type 1"
Impaired vision,"Macular dystrophy, corneal type 1"
Nasal discharge,Midline lethal granuloma
Destruction of nasal cavity tissue,Midline lethal granuloma
Stuffy nose,Midline lethal granuloma
Blood in nasal discharge,Midline lethal granuloma
Retinal coloboma,Microphthalmia -- cataract
Coloboma of iris,Microphthalmia -- cataract
Cataract,Microphthalmia -- cataract
Small eyes,Microphthalmia -- cataract
Preauricular tags,Macrostomia -- preauricular tags -- external ophthalmoplegia
Weak external eye muscles,Macrostomia -- preauricular tags -- external ophthalmoplegia
Large mouth,Macrostomia -- preauricular tags -- external ophthalmoplegia
Abnormal mouth contour,Macrostomia -- preauricular tags -- external ophthalmoplegia
Droopy eyelids,Macrostomia -- preauricular tags -- external ophthalmoplegia
Chills,Renal abscess
Kidney tenderness,Renal abscess
Pus in urine,Renal abscess
Fever,Renal abscess
Abdominal spasms,Renal abscess
Blood in urine,Renal abscess
Painful callus,"Vertical talus, congenital"
Rigid foot,"Vertical talus, congenital"
Reversal of the arch of the foot,"Vertical talus, congenital"
Heel in fixed equinas,"Vertical talus, congenital"
Lack of push off strength,"Vertical talus, congenital"
Nausea,Plant poisoning -- pyrrolizidine alkaloids
Liver problems,Plant poisoning -- pyrrolizidine alkaloids
Diarrhea,Plant poisoning -- pyrrolizidine alkaloids
Abdominal pain,Plant poisoning -- pyrrolizidine alkaloids
Low grade fever,"Loin pain, hematuria syndrome"
Backaches,"Loin pain, hematuria syndrome"
Loin tenderness,"Loin pain, hematuria syndrome"
Protein in urine,"Loin pain, hematuria syndrome"
Blood in urine,"Loin pain, hematuria syndrome"
Increased urination,"Loin pain, hematuria syndrome"
Spasticity,Microphthalmia -- mental deficiency
Mental retardation,Microphthalmia -- mental deficiency
Seizures,Microphthalmia -- mental deficiency
Small eyes,Microphthalmia -- mental deficiency
Cloudy corneas,Microphthalmia -- mental deficiency
Swollen feet or ankles,Lymphoedema -- cerebral arteriovenous anomaly
Cerebrovascular anomalies,Lymphoedema -- cerebral arteriovenous anomaly
Primary pulmonary hypertension,Lymphoedema -- cerebral arteriovenous anomaly
Lymphoedema of the feet,Lymphoedema -- cerebral arteriovenous anomaly
Cranial bruit,Lymphoedema -- cerebral arteriovenous anomaly
Nausea,Florida arrowroot poisoning
Headaches,Florida arrowroot poisoning
Diarrhea,Florida arrowroot poisoning
Abdominal pain,Florida arrowroot poisoning
Nephritis,"Nephritis, familial, without deafness or ocular defect"
Protein in urine,"Nephritis, familial, without deafness or ocular defect"
Increased blood pressure,"Nephritis, familial, without deafness or ocular defect"
Blood in urine,"Nephritis, familial, without deafness or ocular defect"
Increased urination,"Nephritis, familial, without deafness or ocular defect"
Severe infant swelling,Hydrops fetalis syndrome due to beta-thalassemia
Severe intrauterine hypoxia,Hydrops fetalis syndrome due to beta-thalassemia
Newborn death,Hydrops fetalis syndrome due to beta-thalassemia
Heart failure,Hydrops fetalis syndrome due to beta-thalassemia
Limb pains,Bluefarb-stewart syndrome
Limb swelling,Bluefarb-stewart syndrome
Increased size of limb,Bluefarb-stewart syndrome
Skin lesions,Bluefarb-stewart syndrome
Blood vessel malformations,Bluefarb-stewart syndrome
Increased bone density,Osteosclerosis with ichthyosis and premature ovarian failure
Arm swelling,Osteosclerosis with ichthyosis and premature ovarian failure
Premature menopause,Osteosclerosis with ichthyosis and premature ovarian failure
Scaly skin,Osteosclerosis with ichthyosis and premature ovarian failure
Leg pain,Osteosclerosis with ichthyosis and premature ovarian failure
Swelling of legs,Osteosclerosis with ichthyosis and premature ovarian failure
Monobrow,Dup (3) (q27-qter) and dup (14) (pter-q12)
Cleft palate,Dup (3) (q27-qter) and dup (14) (pter-q12)
Small nose,Dup (3) (q27-qter) and dup (14) (pter-q12)
Preauricular pits,Dup (3) (q27-qter) and dup (14) (pter-q12)
Excessive hair growth,Dup (3) (q27-qter) and dup (14) (pter-q12)
Lingual pits,"Taurodontism, microdontia, and dens invaginatus"
Taurodontism - first permanent molars,"Taurodontism, microdontia, and dens invaginatus"
Dens invaginatus of several teeth,"Taurodontism, microdontia, and dens invaginatus"
Tooth pulp stones,"Taurodontism, microdontia, and dens invaginatus"
Small teeth,"Taurodontism, microdontia, and dens invaginatus"
Infant death,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Osteopetrosis during infancy,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Neuroaxonal dystrophy,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Small hippocampus,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Absent corpus callosum,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Cerebral atrophy,"Osteopetrosis with neuroaxonal dysplasia, infantile form"
Short statures,Cleidorhizomelic syndrome
Underdeveloped middle bone in fifth fingers,Cleidorhizomelic syndrome
Short limbs,Cleidorhizomelic syndrome
Curved fifth finger,Cleidorhizomelic syndrome
Abnormal collarbone,Cleidorhizomelic syndrome
Extra nipples,Dup (2) (p25.2-p23)
Small head,Dup (2) (p25.2-p23)
Hydronephrosis,Dup (2) (p25.2-p23)
Various anomalies,Dup (2) (p25.2-p23)
Mental retardation,Dup (2) (p25.2-p23)
Large brain ventricles,Dup (2) (p25.2-p23)
